Image_Index,True_Label,Predicted_Label,U,FM1,FM2,FM3,C
257,5,3,3.0,0.5,0.4,0.1,False
258,9,9,3.0,0.7,0.2,0.1,True
259,1,1,2.0,0.9,0.1,0.0,True
260,8,8,2.0,0.9,0.1,0.0,True
261,5,5,5.0,0.3,0.3,0.2,True
262,1,1,1.0,1.0,0.0,0.0,True
263,8,8,1.0,1.0,0.0,0.0,True
264,2,2,3.0,0.6,0.3,0.1,True
265,2,2,2.0,0.8,0.2,0.0,True
266,3,3,3.0,0.8,0.1,0.1,True
267,2,4,3.0,0.8,0.1,0.1,False
268,0,0,1.0,1.0,0.0,0.0,True
269,9,9,2.0,0.8,0.2,0.0,True
270,8,8,4.0,0.6,0.2,0.1,True
271,0,0,1.0,1.0,0.0,0.0,True
272,1,1,3.0,0.7,0.2,0.1,True
273,1,1,3.0,0.8,0.1,0.1,True
274,6,6,2.0,0.7,0.3,0.0,True
275,2,2,1.0,1.0,0.0,0.0,True
276,2,2,4.0,0.4,0.3,0.2,True
277,1,1,2.0,0.8,0.2,0.0,True
278,9,9,3.0,0.7,0.2,0.1,True
279,1,1,1.0,1.0,0.0,0.0,True
280,8,8,4.0,0.5,0.3,0.1,True
281,6,6,1.0,1.0,0.0,0.0,True
282,5,3,2.0,0.7,0.3,0.0,False
283,3,3,2.0,0.9,0.1,0.0,True
284,8,8,1.0,1.0,0.0,0.0,True
285,5,5,3.0,0.5,0.4,0.1,True
286,0,0,3.0,0.8,0.1,0.1,True
287,0,0,2.0,0.9,0.1,0.0,True
288,6,6,3.0,0.8,0.1,0.1,True
289,3,3,2.0,0.7,0.3,0.0,True
290,1,1,3.0,0.8,0.1,0.1,True
291,0,0,1.0,1.0,0.0,0.0,True
292,5,0,5.0,0.4,0.3,0.1,False
293,6,6,1.0,1.0,0.0,0.0,True
294,0,0,2.0,0.9,0.1,0.0,True
295,7,7,1.0,1.0,0.0,0.0,True
296,1,1,3.0,0.8,0.1,0.1,True
297,7,7,2.0,0.9,0.1,0.0,True
298,1,1,4.0,0.7,0.1,0.1,True
299,5,5,5.0,0.4,0.2,0.2,True
300,4,4,2.0,0.7,0.3,0.0,True
301,7,7,2.0,0.8,0.2,0.0,True
302,4,4,2.0,0.6,0.4,0.0,True
303,8,8,2.0,0.9,0.1,0.0,True
304,9,9,2.0,0.8,0.2,0.0,True
305,9,9,3.0,0.6,0.3,0.1,True
306,9,9,2.0,0.9,0.1,0.0,True
307,7,7,1.0,1.0,0.0,0.0,True
308,4,4,2.0,0.9,0.1,0.0,True
309,6,6,2.0,0.9,0.1,0.0,True
310,9,9,3.0,0.7,0.2,0.1,True
311,7,7,2.0,0.9,0.1,0.0,True
312,3,3,3.0,0.7,0.2,0.1,True
313,3,3,3.0,0.8,0.1,0.1,True
314,1,1,2.0,0.9,0.1,0.0,True
315,7,7,1.0,1.0,0.0,0.0,True
316,3,3,2.0,0.9,0.1,0.0,True
317,2,2,2.0,0.8,0.2,0.0,True
318,7,7,2.0,0.9,0.1,0.0,True
319,1,1,4.0,0.7,0.1,0.1,True
320,4,4,2.0,0.9,0.1,0.0,True
321,4,4,2.0,0.8,0.2,0.0,True
322,1,1,4.0,0.7,0.1,0.1,True
323,4,4,1.0,1.0,0.0,0.0,True
324,7,7,2.0,0.9,0.1,0.0,True
325,2,2,5.0,0.4,0.3,0.1,True
326,1,1,1.0,1.0,0.0,0.0,True
327,0,0,2.0,0.9,0.1,0.0,True
328,1,1,1.0,1.0,0.0,0.0,True
329,0,0,2.0,0.9,0.1,0.0,True
330,6,6,1.0,1.0,0.0,0.0,True
331,9,9,3.0,0.8,0.1,0.1,True
332,3,3,2.0,0.9,0.1,0.0,True
333,0,0,2.0,0.8,0.2,0.0,True
334,0,0,2.0,0.9,0.1,0.0,True
335,0,0,3.0,0.8,0.1,0.1,True
336,3,3,4.0,0.4,0.3,0.2,True
337,8,9,4.0,0.4,0.3,0.2,False
338,7,7,1.0,1.0,0.0,0.0,True
339,1,1,2.0,0.9,0.1,0.0,True
340,4,4,2.0,0.9,0.1,0.0,True
341,0,0,1.0,1.0,0.0,0.0,True
342,2,8,4.0,0.6,0.2,0.1,False
343,1,1,2.0,0.9,0.1,0.0,True
344,2,2,3.0,0.7,0.2,0.1,True
345,9,9,2.0,0.8,0.2,0.0,True
346,2,2,3.0,0.7,0.2,0.1,True
347,7,7,2.0,0.8,0.2,0.0,True
348,1,1,3.0,0.8,0.1,0.1,True
349,4,4,2.0,0.9,0.1,0.0,True
350,8,8,4.0,0.7,0.1,0.1,True
351,3,3,3.0,0.7,0.2,0.1,True
352,5,3,3.0,0.4,0.3,0.3,False
353,0,0,1.0,1.0,0.0,0.0,True
354,4,4,3.0,0.8,0.1,0.1,True
355,6,6,3.0,0.7,0.2,0.1,True
356,1,1,5.0,0.4,0.2,0.2,True
357,3,3,1.0,1.0,0.0,0.0,True
358,1,1,2.0,0.9,0.1,0.0,True
359,6,6,5.0,0.4,0.2,0.2,True
360,5,5,4.0,0.5,0.2,0.2,True
361,2,2,2.0,0.8,0.2,0.0,True
362,4,4,1.0,1.0,0.0,0.0,True
363,6,6,1.0,1.0,0.0,0.0,True
364,4,4,3.0,0.7,0.2,0.1,True
365,8,3,3.0,0.5,0.4,0.1,False
366,7,7,2.0,0.9,0.1,0.0,True
367,1,1,1.0,1.0,0.0,0.0,True
368,7,7,3.0,0.8,0.1,0.1,True
369,6,6,1.0,1.0,0.0,0.0,True
370,7,2,5.0,0.5,0.2,0.1,False
371,2,2,5.0,0.4,0.3,0.1,True
372,6,6,4.0,0.6,0.2,0.1,True
373,7,7,2.0,0.9,0.1,0.0,True
374,7,7,2.0,0.9,0.1,0.0,True
375,1,1,3.0,0.8,0.1,0.1,True
376,4,9,2.0,0.6,0.4,0.0,False
377,1,1,4.0,0.7,0.1,0.1,True
378,6,6,1.0,1.0,0.0,0.0,True
379,4,4,1.0,1.0,0.0,0.0,True
380,5,5,3.0,0.8,0.1,0.1,True
381,2,4,3.0,0.8,0.1,0.1,False
382,2,2,3.0,0.8,0.1,0.1,True
383,8,1,3.0,0.7,0.2,0.1,False
384,1,1,2.0,0.9,0.1,0.0,True
385,5,5,1.0,1.0,0.0,0.0,True
386,7,7,2.0,0.9,0.1,0.0,True
387,9,9,3.0,0.8,0.1,0.1,True
388,5,5,4.0,0.6,0.2,0.1,True
389,7,7,2.0,0.9,0.1,0.0,True
390,9,9,2.0,0.6,0.4,0.0,True
391,0,0,3.0,0.7,0.2,0.1,True
392,9,9,3.0,0.7,0.2,0.1,True
393,9,9,3.0,0.7,0.2,0.1,True
394,9,9,2.0,0.9,0.1,0.0,True
395,7,7,1.0,1.0,0.0,0.0,True
396,2,2,3.0,0.6,0.2,0.2,True
397,2,4,6.0,0.4,0.2,0.1,False
398,8,8,1.0,1.0,0.0,0.0,True
399,5,5,1.0,1.0,0.0,0.0,True
400,0,0,1.0,1.0,0.0,0.0,True
401,0,0,4.0,0.4,0.3,0.2,True
402,1,1,4.0,0.5,0.2,0.2,True
403,0,0,1.0,1.0,0.0,0.0,True
404,2,8,5.0,0.4,0.3,0.1,False
405,0,0,3.0,0.8,0.1,0.1,True
406,0,0,1.0,1.0,0.0,0.0,True
407,0,0,1.0,1.0,0.0,0.0,True
408,9,9,1.0,1.0,0.0,0.0,True
409,7,7,1.0,1.0,0.0,0.0,True
410,7,5,5.0,0.3,0.3,0.2,False
411,8,8,3.0,0.5,0.3,0.2,True
412,3,3,2.0,0.9,0.1,0.0,True
413,7,9,5.0,0.4,0.2,0.2,False
414,7,7,5.0,0.4,0.3,0.1,True
415,9,9,1.0,1.0,0.0,0.0,True
416,3,3,5.0,0.5,0.2,0.1,True
417,8,8,2.0,0.9,0.1,0.0,True
418,7,7,3.0,0.7,0.2,0.1,True
419,6,6,1.0,1.0,0.0,0.0,True
420,0,0,3.0,0.8,0.1,0.1,True
421,2,2,5.0,0.4,0.3,0.1,True
422,4,4,2.0,0.9,0.1,0.0,True
423,0,0,1.0,1.0,0.0,0.0,True
424,5,5,2.0,0.9,0.1,0.0,True
425,4,4,2.0,0.9,0.1,0.0,True
426,6,6,1.0,1.0,0.0,0.0,True
427,3,3,3.0,0.7,0.2,0.1,True
428,7,7,2.0,0.7,0.3,0.0,True
429,6,6,2.0,0.8,0.2,0.0,True
430,0,0,2.0,0.9,0.1,0.0,True
431,6,6,1.0,1.0,0.0,0.0,True
432,6,4,4.0,0.6,0.2,0.1,False
433,1,1,2.0,0.9,0.1,0.0,True
434,8,8,1.0,1.0,0.0,0.0,True
435,1,1,2.0,0.7,0.3,0.0,True
436,1,1,2.0,0.9,0.1,0.0,True
437,3,3,2.0,0.8,0.2,0.0,True
438,0,0,1.0,1.0,0.0,0.0,True
439,1,1,2.0,0.9,0.1,0.0,True
440,2,2,4.0,0.6,0.2,0.1,True
441,1,1,1.0,1.0,0.0,0.0,True
442,2,2,3.0,0.8,0.1,0.1,True
443,4,4,1.0,1.0,0.0,0.0,True
444,9,9,2.0,0.9,0.1,0.0,True
445,5,5,3.0,0.8,0.1,0.1,True
446,6,6,1.0,1.0,0.0,0.0,True
447,3,3,2.0,0.9,0.1,0.0,True
448,5,8,5.0,0.3,0.3,0.2,False
449,9,9,2.0,0.8,0.2,0.0,True
450,3,8,4.0,0.4,0.3,0.2,False
451,2,2,4.0,0.6,0.2,0.1,True
452,2,2,1.0,1.0,0.0,0.0,True
453,3,3,3.0,0.8,0.1,0.1,True
454,2,2,2.0,0.9,0.1,0.0,True
455,9,9,2.0,0.9,0.1,0.0,True
456,0,0,2.0,0.7,0.3,0.0,True
457,0,0,1.0,1.0,0.0,0.0,True
458,0,0,3.0,0.8,0.1,0.1,True
459,0,0,1.0,1.0,0.0,0.0,True
460,8,8,4.0,0.5,0.2,0.2,True
461,0,0,1.0,1.0,0.0,0.0,True
462,2,7,5.0,0.5,0.2,0.1,False
463,9,4,2.0,0.7,0.3,0.0,False
464,8,8,4.0,0.6,0.2,0.1,True
465,1,1,1.0,1.0,0.0,0.0,True
466,3,7,3.0,0.6,0.3,0.1,False
467,7,7,1.0,1.0,0.0,0.0,True
468,8,1,3.0,0.7,0.2,0.1,False
469,5,5,2.0,0.9,0.1,0.0,True
470,7,7,3.0,0.8,0.1,0.1,True
471,4,4,1.0,1.0,0.0,0.0,True
472,8,8,3.0,0.7,0.2,0.1,True
473,2,2,1.0,1.0,0.0,0.0,True
474,2,1,2.0,0.7,0.3,0.0,False
475,0,0,1.0,1.0,0.0,0.0,True
476,8,8,2.0,0.8,0.2,0.0,True
477,6,6,3.0,0.8,0.1,0.1,True
478,1,1,1.0,1.0,0.0,0.0,True
479,3,3,5.0,0.4,0.3,0.1,True
480,7,7,4.0,0.7,0.1,0.1,True
481,5,5,5.0,0.5,0.2,0.1,True
482,7,7,3.0,0.8,0.1,0.1,True
483,1,1,3.0,0.8,0.1,0.1,True
484,0,0,1.0,1.0,0.0,0.0,True
485,3,3,3.0,0.6,0.3,0.1,True
486,5,5,2.0,0.7,0.3,0.0,True
487,9,9,1.0,1.0,0.0,0.0,True
488,4,4,2.0,0.8,0.2,0.0,True
489,4,4,1.0,1.0,0.0,0.0,True
490,7,9,2.0,0.6,0.4,0.0,False
491,3,3,3.0,0.7,0.2,0.1,True
492,2,2,2.0,0.9,0.1,0.0,True
493,0,0,2.0,0.9,0.1,0.0,True
494,4,9,3.0,0.4,0.4,0.2,False
495,2,2,3.0,0.7,0.2,0.1,True
496,1,1,2.0,0.9,0.1,0.0,True
497,7,7,1.0,1.0,0.0,0.0,True
498,0,0,2.0,0.9,0.1,0.0,True
499,7,7,2.0,0.9,0.1,0.0,True
500,6,6,2.0,0.8,0.2,0.0,True
501,4,9,3.0,0.7,0.2,0.1,False
502,7,7,1.0,1.0,0.0,0.0,True
503,7,7,3.0,0.7,0.2,0.1,True
504,1,1,1.0,1.0,0.0,0.0,True
505,9,9,2.0,0.9,0.1,0.0,True
506,6,6,4.0,0.5,0.3,0.1,True
507,8,8,4.0,0.6,0.2,0.1,True
508,7,7,1.0,1.0,0.0,0.0,True
509,8,8,4.0,0.7,0.1,0.1,True
510,2,2,4.0,0.4,0.3,0.2,True
511,3,3,3.0,0.6,0.2,0.2,True
512,2,0,3.0,0.4,0.4,0.2,False
513,0,0,4.0,0.6,0.2,0.1,True
514,6,6,4.0,0.4,0.3,0.2,True
515,0,0,1.0,1.0,0.0,0.0,True
516,3,3,1.0,1.0,0.0,0.0,True
517,6,6,3.0,0.8,0.1,0.1,True
518,8,8,2.0,0.9,0.1,0.0,True
519,1,1,1.0,1.0,0.0,0.0,True
520,7,9,3.0,0.8,0.1,0.1,False
521,4,4,1.0,1.0,0.0,0.0,True
522,2,8,4.0,0.5,0.2,0.2,False
523,3,3,3.0,0.7,0.2,0.1,True
524,0,0,1.0,1.0,0.0,0.0,True
525,3,3,4.0,0.4,0.3,0.2,True
526,2,2,4.0,0.5,0.3,0.1,True
527,7,7,1.0,1.0,0.0,0.0,True
528,4,4,1.0,1.0,0.0,0.0,True
529,3,3,4.0,0.4,0.3,0.2,True
530,1,1,2.0,0.9,0.1,0.0,True
531,4,4,3.0,0.8,0.1,0.1,True
532,3,3,4.0,0.7,0.1,0.1,True
533,6,6,2.0,0.9,0.1,0.0,True
534,9,4,6.0,0.4,0.2,0.1,False
535,7,7,4.0,0.6,0.2,0.1,True
536,8,8,1.0,1.0,0.0,0.0,True
537,7,7,5.0,0.6,0.1,0.1,True
538,4,4,1.0,1.0,0.0,0.0,True
539,4,4,3.0,0.8,0.1,0.1,True
540,0,0,2.0,0.8,0.2,0.0,True
541,9,9,4.0,0.7,0.1,0.1,True
542,8,5,5.0,0.3,0.3,0.2,False
543,1,1,1.0,1.0,0.0,0.0,True
544,3,8,4.0,0.3,0.3,0.3,False
545,2,8,2.0,0.5,0.5,0.0,False
546,7,9,4.0,0.6,0.2,0.1,False
547,3,3,1.0,1.0,0.0,0.0,True
548,7,7,1.0,1.0,0.0,0.0,True
549,6,6,2.0,0.9,0.1,0.0,True
550,0,0,1.0,1.0,0.0,0.0,True
551,5,5,4.0,0.6,0.2,0.1,True
552,2,2,1.0,1.0,0.0,0.0,True
553,1,1,2.0,0.9,0.1,0.0,True
554,9,9,2.0,0.7,0.3,0.0,True
555,1,1,1.0,1.0,0.0,0.0,True
556,6,6,1.0,1.0,0.0,0.0,True
557,6,6,2.0,0.7,0.3,0.0,True
558,1,1,3.0,0.8,0.1,0.1,True
559,7,7,1.0,1.0,0.0,0.0,True
560,8,8,2.0,0.9,0.1,0.0,True
561,1,1,1.0,1.0,0.0,0.0,True
562,0,0,2.0,0.8,0.2,0.0,True
563,2,2,1.0,1.0,0.0,0.0,True
564,4,4,3.0,0.7,0.2,0.1,True
565,4,4,2.0,0.9,0.1,0.0,True
566,7,7,1.0,1.0,0.0,0.0,True
567,0,0,1.0,1.0,0.0,0.0,True
568,8,8,2.0,0.9,0.1,0.0,True
569,6,6,2.0,0.9,0.1,0.0,True
570,6,6,2.0,0.9,0.1,0.0,True
571,0,0,1.0,1.0,0.0,0.0,True
572,6,6,3.0,0.8,0.1,0.1,True
573,2,2,1.0,1.0,0.0,0.0,True
574,2,2,1.0,1.0,0.0,0.0,True
575,5,3,4.0,0.6,0.2,0.1,False
576,6,6,5.0,0.4,0.3,0.1,True
577,4,6,3.0,0.4,0.3,0.3,False
578,6,6,1.0,1.0,0.0,0.0,True
579,0,0,2.0,0.9,0.1,0.0,True
